section,description,case_study
302,Liability under section 302 for taking the life of a person with malice and pre-planning.,"The Sessions Court of Bhopal found the accused Sunil Dutt guilty of murder under Section 302. On 23rd March 2024, the accused had murdered his neighbor Pooja with a iron rod in broad daylight. The court sentenced the convict to life imprisonment."
307,"Attempt to murder under Section 307. Accused fired at the victim or stabbed them, causing near-fatal injuries.","During a political rally in Kanpur on 15th August 2024, Karan Johar tried to strangulate Radha with a wire. Bystanders intervened and rescued the victim, who was unconscious. A case under Section 307 was registered against the assailant."
401,"Section 401 prosecution for gang theft. Police recovered stolen jewelry, vehicles, and break-in tools from the gang's hideout.","The police busted an active criminal gang in Lucknow that specialized in highway thefts. The accused Pankaj Tripathi and his accomplices were arrested, and stolen laptops, mobile phones, and cash were seized. Charged under Section 401."
302,Punishment for murder. The accused stands charged with committing murder and is liable to be punished with death or imprisonment for life.,"A charge sheet was filed under Section 302 against Pankaj Tripathi for the premeditated killing of Gopal in Amritsar. The accused had used a wooden stick to inflict ten deep wounds, ensuring the death of the victim."
401,Punishment for belonging to a gang of thieves. The accused was found associated with a group of persons associated for the purpose of habitually committing theft.,"On 29th September 2024, the police raided a hideout in Hyderabad and arrested four gang members, including Karan Johar. Stolen jewelry worth Rs. 300,000 was recovered. The gang had been habitually committing house thefts in the region."
302,Punishment for murder. The accused stands charged with committing murder and is liable to be punished with death or imprisonment for life.,The High Court upheld the life sentence of Manish Paul for committing murder under Section 302. The victim Harish was brutally beaten to death in Pune over an ancestral family feud on 23rd March 2024.
307,"Attempt to murder under Section 307. Accused fired at the victim or stabbed them, causing near-fatal injuries.","On 15th August 2024, the accused Rajesh Kumar intercepted the victim Gopal in Thane and stabbed him in the abdomen with a axe. The victim survived after undergoing a five-hour emergency surgery. The accused is charged under Section 307."
376,"Accusation of sexual assault under Section 376 where consent was obtained through coercion, threat, or false promise of marriage.",The trial court convicted Arjun Kapoor under Section 376 for the gang rape/rape of the survivor in Obour. The survivor testified that the accused abducted her on 5th November 2023 and committed the heinous offense in a moving vehicle.
302,Trial for committing murder where the state seeks life imprisonment or capital punishment for the heinous offense.,"The Sessions Court of Patna found the accused Amit Singh guilty of murder under Section 302. On 23rd March 2024, the accused had murdered his neighbor Abhishek with a sharp knife in broad daylight. The court sentenced the convict to life imprisonment."
300,"The accused with full knowledge that the act is so imminently dangerous that it must in all probability cause death, committed murder.","In the jurisdiction of Surat, the prosecution proved that Ramesh Sen deliberately poisoned the meal of Radha with arsenic. The victim consumed the poisoned meal, suffered severe internal hemorrhage, and passed away on 29th September 2024 at the local hospital."
420,Online phishing and transaction fraud. The accused induced the victim to share bank credentials and stole funds.,"The complainant alleged that the accused Umesh Chandra running a bogus real estate firm in Ahmedabad promised to deliver a 2BHK flat. The complainant paid Rs. 50,000 on 23rd March 2024, after which the accused locked the office and fled."
307,Assault with intent to kill. The victim survived the brutal assault due to timely medical intervention.,The accused Umesh Chandra fired two rounds from a hammer at Vivek in Jaipur due to commercial rivalry. One bullet grazed the victim's shoulder. The police registered a case of attempt to murder under Section 307.
302,Punishment for murder. The accused stands charged with committing murder and is liable to be punished with death or imprisonment for life.,"The Sessions Court of Kanpur found the accused Ramesh Sen guilty of murder under Section 302. On 12th January 2025, the accused had murdered his neighbor Kiran with a hammer in broad daylight. The court sentenced the convict to life imprisonment."
307,"Attempt to commit murder. The accused performed an act with such intention and under such circumstances that if death occurred, it would be murder.","The accused Suresh Sharma mixed pesticide in the tea served to Abhishek in Pune. The victim sensed the strange odor and spat it out, but still suffered minor poisoning. Charged with attempt to murder under Section 307."
302,Liability under section 302 for taking the life of a person with malice and pre-planning.,The High Court upheld the life sentence of Suresh Sharma for committing murder under Section 302. The victim Sandeep was brutally beaten to death in Lucknow over an ancestral family feud on 4th July 2024.
